sex,age,education,job,eyesight,assistant,phoneModel,screenResolutionX,screenResolutionY,sharpness,aesthetic,familiarity,efficiency,bigFont,_id
1,50,高中,6.批发和零售业,老花眼,佩戴眼镜,iOS,375,667,5,4,4,5,3,6270ba0196f14ef90e103884
1,68,高中,8.住宿和餐饮业,老花眼,进行过手术,iOS,390,844,4,3,5,3,4,6270bb7696f14ef90e103885
0,21,本科,11.房地产业,完全正常,无,iOS,414,896,5,4,3,5,3,6270c07096f14ef90e103886
0,,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,340,680,4,4,3,3,4,6270cacf96f14ef90e103887
1,56,硕士及以上,16.教育,完全正常,无,AndroidOS,400,856,4,4,3,3,3,6270d9a696f14ef90e103888
1,58,本科,16.教育,完全正常,无,AndroidOS,360,747,5,5,4,4,4,6270de5996f14ef90e103889
1,58,本科,16.教育,完全正常,无,AndroidOS,360,747,5,5,4,4,4,6270ded696f14ef90e10388a
0,,本科,16.教育,老花眼,佩戴眼镜,AndroidOS,341,737,5,5,5,5,5,6270df6196f14ef90e10388b
0,51,本科,16.教育,近视,佩戴眼镜,AndroidOS,400,867,3,4,3,5,3,6270e00796f14ef90e10388c
0,,本科,16.教育,完全正常,无,AndroidOS,360,800,4,4,3,3,4,6270e04d96f14ef90e10388d
0,,本科,16.教育,老花眼,佩戴眼镜,AndroidOS,341,737,5,5,5,5,5,6270e09e96f14ef90e10388e
0,,本科,16.教育,完全正常,无,AndroidOS,360,800,4,4,3,3,4,6270e0d196f14ef90e10388f
0,,本科,16.教育,完全正常,无,AndroidOS,360,800,4,4,3,3,4,6270e0d196f14ef90e103890
0,,本科,16.教育,老花眼,无,AndroidOS,440,783,5,5,5,5,5,6270e1df96f14ef90e103891
1,58,本科,16.教育,老花眼,无,AndroidOS,341,728,3,3,3,3,3,6270e31e96f14ef90e103892
0,,本科,9.信息传输、软件和信息技术服务业,老花眼,佩戴眼镜,AndroidOS,341,759,,,,,,6270e34096f14ef90e103893
1,,本科,16.教育,完全正常,无,AndroidOS,400,825,5,5,5,5,5,6270e4fc96f14ef90e103894
0,57,初中,16.教育,老花眼,佩戴眼镜,AndroidOS,341,718,2,4,3,4,3,6270e79096f14ef90e103895
0,57,初中,16.教育,老花眼,佩戴眼镜,AndroidOS,341,718,2,4,3,4,3,6270e7b596f14ef90e103896
0,57,初中,16.教育,老花眼,佩戴眼镜,AndroidOS,341,718,2,4,3,4,3,6270e7b596f14ef90e103897
1,59,本科,16.教育,近视,佩戴眼镜,iOS,375,667,5,5,5,5,5,6270e9b296f14ef90e103898
0,,本科,16.教育,完全正常,无,iOS,390,844,3,4,3,3,3,6270e9ba96f14ef90e103899
0,62,高中,,近视,无,AndroidOS,400,845,5,5,3,3,5,6270edc896f14ef90e10389a
0,62,高中,,近视,无,AndroidOS,400,845,5,5,3,3,5,6270eee896f14ef90e10389b
1,64,初中,16.教育,老花眼,无,AndroidOS,360,747,5,5,4,4,4,6270ef1f96f14ef90e10389c
1,1,高中,9.信息传输、软件和信息技术服务业,其他疾病,进行过手术,AndroidOS,400,867,4,3,3,2,5,6270efb096f14ef90e10389d
1,,初中,6.批发和零售业,老花眼,佩戴眼镜,AndroidOS,360,800,3,,3,4,2,6270f19f96f14ef90e10389e
1,,初中,6.批发和零售业,老花眼,佩戴眼镜,AndroidOS,360,800,3,,3,4,2,6270f19f96f14ef90e10389f
0,66,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,400,892,5,5,3,4,4,6270f21996f14ef90e1038a0
0,62,高中,6.批发和零售业,完全正常,无,AndroidOS,400,889,4,5,4,5,3,6270f27796f14ef90e1038a1
1,62,初中,1.农、林、牧、渔业,其他疾病,无,AndroidOS,360,640,1,2,2,5,5,6270f2b396f14ef90e1038a2
0,66,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,440,880,3,4,2,3,5,6270f2b996f14ef90e1038a3
0,62,初中,15.居民服务、修理和其他服务业,完全正常,无,AndroidOS,400,867,3,4,4,5,3,6270f2e296f14ef90e1038a4
0,61,初中,16.教育,完全正常,无,AndroidOS,400,867,3,3,4,4,4,6270f30296f14ef90e1038a5
0,,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,440,783,,,,,,6270f31896f14ef90e1038a6
0,61,初中,5.建筑业,完全正常,无,AndroidOS,401,889,5,5,2,5,2,6270f31b96f14ef90e1038a7
0,60,初中,8.住宿和餐饮业,近视,佩戴眼镜,AndroidOS,400,867,4,5,3,3,3,6270f34b96f14ef90e1038a8
1,,高中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,360,800,3,3,3,3,3,6270f39c96f14ef90e1038a9
0,60,初中,8.住宿和餐饮业,近视,佩戴眼镜,AndroidOS,400,867,4,5,3,3,3,6270f3b596f14ef90e1038aa
0,57,本科,16.教育,近视,佩戴眼镜,AndroidOS,360,720,,,1,5,,6270f3e896f14ef90e1038ab
,iOS,375,667,0,本科,16.教育,完全正常,无,3,3,3,2,4,6270f42196f14ef90e1038ac
0,62,高中,16.教育,完全正常,无,AndroidOS,440,978,5,3,4,5,5,6270f46a96f14ef90e1038ad
0,62,初中,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,3,5,2,5,4,6270f4a496f14ef90e1038ae
1,,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,360,803,4,3,3,4,4,6270f4a496f14ef90e1038af
0,,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,341,737,5,5,5,5,5,6270f4bd96f14ef90e1038b0
0,,高中,16.教育,完全正常,无,AndroidOS,400,870,4,4,4,4,4,6270f4e396f14ef90e1038b1
0,61,初中,1.农、林、牧、渔业,其他疾病,无,AndroidOS,341,749,5,1,1,2,5,6270f50496f14ef90e1038b2
0,65,初中,16.教育,老花眼,无,AndroidOS,400,867,3,3,4,5,4,6270f53c96f14ef90e1038b3
0,61,初中,6.批发和零售业,老花眼,无,AndroidOS,303,655,5,2,3,5,5,6270f57d96f14ef90e1038b4
,iOS,375,667,0,16.教育,完全正常,无,3,3,3,2,4,初中,6270f58b96f14ef90e1038b5
0,61,初中,6.批发和零售业,老花眼,无,AndroidOS,303,655,5,2,3,5,5,6270f5ac96f14ef90e1038b6
0,61,初中,6.批发和零售业,老花眼,无,AndroidOS,303,655,5,2,3,5,5,6270f5ac96f14ef90e1038b7
0,,小学,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,3,2,3,4,4,6270f5b496f14ef90e1038b8
1,66,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,401,858,,,,,,6270f5ed96f14ef90e1038b9
0,63,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,360,800,3,3,3,3,2,6270f5f896f14ef90e1038ba
0,,初中,7.交通运输、仓储和邮政业,老花眼,佩戴眼镜,AndroidOS,360,640,3,3,3,2,5,6270f61a96f14ef90e1038bb
1,,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,341,737,3,4,3,4,4,6270f62396f14ef90e1038bc
1,,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,341,737,3,4,3,4,4,6270f62396f14ef90e1038bd
1,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,360,800,3,3,3,4,3,6270f66096f14ef90e1038be
1,61,小学,1.农、林、牧、渔业,完全正常,无,AndroidOS,401,845,4,4,3,4,4,6270f66896f14ef90e1038bf
0,,高中,16.教育,完全正常,无,AndroidOS,360,800,5,4,3,3,3,6270f66996f14ef90e1038c0
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f6a396f14ef90e1038c1
0,,高中,16.教育,完全正常,无,AndroidOS,360,780,5,5,5,5,5,6270f6b996f14ef90e1038c2
0,,高中,16.教育,老花眼,无,AndroidOS,400,889,5,4,5,5,5,6270f6c796f14ef90e1038c3
0,,高中,16.教育,老花眼,无,AndroidOS,440,783,5,5,5,5,5,6270f6de96f14ef90e1038c4
0,61,初中,6.批发和零售业,老花眼,无,AndroidOS,303,655,5,2,3,5,5,6270f6f796f14ef90e1038c5
0,,高中,3.制造业,老花眼,佩戴眼镜,AndroidOS,303,672,3,4,4,4,5,6270f74b96f14ef90e1038c6
0,,高中,3.制造业,老花眼,佩戴眼镜,AndroidOS,303,672,3,4,4,4,5,6270f74b96f14ef90e1038c7
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f77e96f14ef90e1038c8
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f77e96f14ef90e1038c9
0,62,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,718,3,3,3,3,3,6270f78796f14ef90e1038ca
0,56,本科,16.教育,老花眼,无,AndroidOS,360,800,5,5,3,3,4,6270f79396f14ef90e1038cb
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f79596f14ef90e1038cc
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f79596f14ef90e1038cd
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f79596f14ef90e1038ce
0,66,初中,16.教育,完全正常,无,AndroidOS,400,885,3,3,3,4,3,6270f81c96f14ef90e1038cf
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f84696f14ef90e1038d0
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f84696f14ef90e1038d1
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f84696f14ef90e1038d2
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,309,637,5,5,5,5,5,6270f84696f14ef90e1038d3
0,66,高中,16.教育,老花眼,佩戴眼镜,AndroidOS,400,889,3,5,4,5,3,6270f85796f14ef90e1038d4
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270f86296f14ef90e1038d5
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,320,694,5,4,4,5,5,6270f86796f14ef90e1038d6
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,320,694,5,4,4,5,5,6270f87c96f14ef90e1038d7
0,68,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,4,3,3,3,4,6270f89096f14ef90e1038d8
1,65,小学,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,4,3,3,4,3,6270f89396f14ef90e1038d9
1,65,高中,8.住宿和餐饮业,完全正常,无,AndroidOS,360,780,4,3,3,3,3,6270f89496f14ef90e1038da
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,320,694,5,4,4,5,5,6270f89e96f14ef90e1038db
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,320,694,5,4,4,5,5,6270f89e96f14ef90e1038dc
0,,高中,1.农、林、牧、渔业,完全正常,无,iOS,375,812,3,4,3,4,2,6270f8c096f14ef90e1038dd
0,65,高中,20.国际组织,老花眼,佩戴眼镜,AndroidOS,400,867,5,5,5,5,5,6270f8dd96f14ef90e1038de
1,,高中,1.农、林、牧、渔业,近视,无,AndroidOS,360,760,4,3,4,4,3,6270f8e496f14ef90e1038df
0,65,高中,20.国际组织,老花眼,佩戴眼镜,AndroidOS,400,867,5,5,5,5,5,6270f8f096f14ef90e1038e0
0,65,高中,20.国际组织,老花眼,佩戴眼镜,AndroidOS,400,867,5,5,5,5,5,6270f8f096f14ef90e1038e1
0,62,初中,6.批发和零售业,完全正常,无,iOS,428,926,5,5,5,5,5,6270f90396f14ef90e1038e2
0,,初中,1.农、林、牧、渔业,近视,无,iOS,414,896,3,5,1,5,3,6270f92c96f14ef90e1038e3
1,65,高中,8.住宿和餐饮业,完全正常,无,AndroidOS,360,780,4,3,3,3,3,6270f92f96f14ef90e1038e4
0,,高中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,400,867,3,4,3,4,3,6270f93e96f14ef90e1038e5
0,,初中,16.教育,老花眼,佩戴眼镜,iOS,390,844,4,,4,4,4,6270f95096f14ef90e1038e6
0,,初中,1.农、林、牧、渔业,近视,无,iOS,414,896,3,5,1,5,3,6270f97196f14ef90e1038e7
1,65,高中,8.住宿和餐饮业,完全正常,无,AndroidOS,360,780,4,3,3,3,3,6270f97596f14ef90e1038e8
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270f98796f14ef90e1038e9
1,64,高中,6.批发和零售业,老花眼,佩戴眼镜,AndroidOS,341,718,5,5,5,5,5,6270f99596f14ef90e1038ea
0,60,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,401,801,5,5,5,5,5,6270f9a196f14ef90e1038eb
1,65,高中,8.住宿和餐饮业,完全正常,无,AndroidOS,360,780,4,3,3,3,3,6270f9ae96f14ef90e1038ec
1,65,初中,1.农、林、牧、渔业,其他疾病,进行过手术,AndroidOS,400,889,3,3,3,3,3,6270f9b196f14ef90e1038ed
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9bd96f14ef90e1038ee
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9c996f14ef90e1038ef
0,61,初中,8.住宿和餐饮业,老花眼,无,AndroidOS,341,707,5,5,3,3,3,6270f9cd96f14ef90e1038f0
0,60,初中,,完全正常,无,AndroidOS,440,880,2,4,2,4,2,6270f9ce96f14ef90e1038f1
0,60,初中,4.电力、热力、燃气及水生产和供应业,老花眼,佩戴眼镜,iOS,810,1080,3,3,3,3,3,6270f9cf96f14ef90e1038f2
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9e696f14ef90e1038f3
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9e696f14ef90e1038f4
0,64,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,325,704,,,,,,6270f9ed96f14ef90e1038f5
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270f9ee96f14ef90e1038f6
1,65,初中,1.农、林、牧、渔业,其他疾病,进行过手术,AndroidOS,400,889,3,3,3,3,3,6270f9ef96f14ef90e1038f7
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa0a96f14ef90e1038f8
1,66,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,401,896,,,,,,6270fa1596f14ef90e1038f9
1,63,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,4,5,4,5,5,6270fa1b96f14ef90e1038fa
0,63,初中,15.居民服务、修理和其他服务业,近视,无,AndroidOS,360,780,4,5,5,5,5,6270fa1e96f14ef90e1038fb
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270fa2e96f14ef90e1038fc
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa3a96f14ef90e1038fd
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa3a96f14ef90e1038fe
0,60,初中,4.电力、热力、燃气及水生产和供应业,老花眼,佩戴眼镜,iOS,810,1080,3,3,3,3,3,6270fa4296f14ef90e1038ff
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270fa5396f14ef90e103900
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270fa5396f14ef90e103901
1,66,初中,2.采矿业,老花眼,无,iOS,428,926,3,3,3,3,3,6270fa6496f14ef90e103902
1,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,,3,4,3,4,6270fa6596f14ef90e103903
0,65,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,867,3,4,5,4,3,6270fa6c96f14ef90e103904
0,61,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,700,1167,5,5,5,5,5,6270fa6d96f14ef90e103905
0,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,867,2,2,2,2,2,6270fa7796f14ef90e103906
1,61,初中,,老花眼,佩戴眼镜,AndroidOS,401,889,,,,,,6270fa7e96f14ef90e103907
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fa8b96f14ef90e103908
0,64,高中,16.教育,老花眼,无,AndroidOS,400,889,2,2,3,2,3,6270fa9096f14ef90e103909
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270faa496f14ef90e10390a
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270faa496f14ef90e10390b
1,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,360,760,5,5,5,5,5,6270faa896f14ef90e10390c
0,,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,401,858,3,2,3,3,2,6270fab196f14ef90e10390d
0,62,初中,6.批发和零售业,老花眼,佩戴眼镜,iOS,414,896,3,3,4,4,5,6270fac396f14ef90e10390e
1,65,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,400,889,5,4,3,4,4,6270face96f14ef90e10390f
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270face96f14ef90e103910
1,63,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,401,845,4,,,,,6270facf96f14ef90e103911
0,62,高中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,800,5,5,3,4,2,6270fad696f14ef90e103912
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb1096f14ef90e103913
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fb2596f14ef90e103914
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fb2596f14ef90e103915
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,2,2,3,3,3,6270fb2596f14ef90e103916
1,61,初中,,老花眼,佩戴眼镜,AndroidOS,401,889,,,,,,6270fb2896f14ef90e103917
1,16,初中,,近视,佩戴眼镜,AndroidOS,400,889,3,2,3,3,2,6270fb3696f14ef90e103918
0,64,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,737,5,4,5,5,5,6270fb3f96f14ef90e103919
0,62,小学,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,,,,,,6270fb4696f14ef90e10391a
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270fb4896f14ef90e10391b
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,360,640,2,2,3,2,5,6270fb7096f14ef90e10391c
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb7096f14ef90e10391d
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb7096f14ef90e10391e
0,,高中,18.文化、体育和娱乐业,近视,佩戴眼镜,AndroidOS,400,712,4,5,4,4,3,6270fb7596f14ef90e10391f
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,360,780,4,4,4,3,4,6270fb7b96f14ef90e103920
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,360,640,3,3,3,3,3,6270fb8d96f14ef90e103921
1,,初中,,近视,佩戴眼镜,AndroidOS,600,960,5,5,5,5,5,6270fb9696f14ef90e103922
1,,高中,16.教育,老花眼,进行过手术,AndroidOS,400,832,5,4,4,5,5,6270fb9996f14ef90e103923
1,65,初中,,完全正常,无,AndroidOS,360,800,5,5,4,5,4,6270fbac96f14ef90e103924
0,61,高中,17.卫生和社会工作,近视,佩戴眼镜,AndroidOS,400,845,4,4,5,5,5,6270fbb796f14ef90e103925
0,64,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,737,5,4,5,5,5,6270fbb896f14ef90e103926
0,64,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fbbb96f14ef90e103927
0,,高中,18.文化、体育和娱乐业,近视,佩戴眼镜,AndroidOS,400,712,4,5,4,4,3,6270fbbc96f14ef90e103928
0,66,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,4,3,4,3,3,6270fbd796f14ef90e103929
0,,本科,16.教育,老花眼,无,AndroidOS,400,856,,5,5,5,5,6270fbe696f14ef90e10392a
0,,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,341,756,3,3,3,4,4,6270fbfd96f14ef90e10392b
0,,初中,8.住宿和餐饮业,老花眼,佩戴眼镜,AndroidOS,341,718,5,5,5,5,5,6270fc2996f14ef90e10392c
0,,高中,16.教育,老花眼,无,AndroidOS,360,760,5,5,3,4,4,6270fc3996f14ef90e10392d
